"formattedTime","value"
"Jan 2004","[56]"
"Feb 2004","[50]"
"Mar 2004","[53]"
"Apr 2004","[57]"
"May 2004","[53]"
"Jun 2004","[55]"
"Jul 2004","[61]"
"Aug 2004","[43]"
"Sep 2004","[52]"
"Oct 2004","[67]"
"Nov 2004","[66]"
"Dec 2004","[53]"
"Jan 2005","[54]"
"Feb 2005","[66]"
"Mar 2005","[58]"
"Apr 2005","[65]"
"May 2005","[65]"
"Jun 2005","[57]"
"Jul 2005","[60]"
"Aug 2005","[37]"
"Sep 2005","[46]"
"Oct 2005","[48]"
"Nov 2005","[62]"
"Dec 2005","[50]"
"Jan 2006","[60]"
"Feb 2006","[56]"
"Mar 2006","[47]"
"Apr 2006","[56]"
"May 2006","[58]"
"Jun 2006","[46]"
"Jul 2006","[50]"
"Aug 2006","[53]"
"Sep 2006","[36]"
"Oct 2006","[52]"
"Nov 2006","[51]"
"Dec 2006","[46]"
"Jan 2007","[55]"
"Feb 2007","[50]"
"Mar 2007","[44]"
"Apr 2007","[43]"
"May 2007","[43]"
"Jun 2007","[38]"
"Jul 2007","[41]"
"Aug 2007","[53]"
"Sep 2007","[48]"
"Oct 2007","[46]"
"Nov 2007","[53]"
"Dec 2007","[53]"
"Jan 2008","[50]"
"Feb 2008","[48]"
"Mar 2008","[46]"
"Apr 2008","[50]"
"May 2008","[46]"
"Jun 2008","[46]"
"Jul 2008","[46]"
"Aug 2008","[43]"
"Sep 2008","[50]"
"Oct 2008","[45]"
"Nov 2008","[46]"
"Dec 2008","[43]"
"Jan 2009","[46]"
"Feb 2009","[54]"
"Mar 2009","[49]"
"Apr 2009","[45]"
"May 2009","[49]"
"Jun 2009","[46]"
"Jul 2009","[49]"
"Aug 2009","[50]"
"Sep 2009","[47]"
"Oct 2009","[45]"
"Nov 2009","[100]"
"Dec 2009","[59]"
"Jan 2010","[58]"
"Feb 2010","[46]"
"Mar 2010","[53]"
"Apr 2010","[54]"
"May 2010","[55]"
"Jun 2010","[43]"
"Jul 2010","[56]"
"Aug 2010","[45]"
"Sep 2010","[47]"
"Oct 2010","[60]"
"Nov 2010","[63]"
"Dec 2010","[43]"
"Jan 2011","[55]"
"Feb 2011","[51]"
"Mar 2011","[51]"
"Apr 2011","[54]"
"May 2011","[53]"
"Jun 2011","[56]"
"Jul 2011","[53]"
"Aug 2011","[56]"
"Sep 2011","[55]"
"Oct 2011","[55]"
"Nov 2011","[64]"
"Dec 2011","[58]"
"Jan 2012","[62]"
"Feb 2012","[67]"
"Mar 2012","[56]"
"Apr 2012","[60]"
"May 2012","[56]"
"Jun 2012","[55]"
"Jul 2012","[57]"
"Aug 2012","[52]"
"Sep 2012","[53]"
"Oct 2012","[63]"
"Nov 2012","[59]"
"Dec 2012","[53]"
"Jan 2013","[64]"
"Feb 2013","[57]"
"Mar 2013","[60]"
"Apr 2013","[56]"
"May 2013","[58]"
"Jun 2013","[60]"
"Jul 2013","[55]"
"Aug 2013","[53]"
"Sep 2013","[57]"
"Oct 2013","[64]"
"Nov 2013","[66]"
"Dec 2013","[61]"
"Jan 2014","[66]"
"Feb 2014","[65]"
"Mar 2014","[63]"
"Apr 2014","[60]"
"May 2014","[64]"
"Jun 2014","[57]"
"Jul 2014","[65]"
"Aug 2014","[67]"
"Sep 2014","[63]"
"Oct 2014","[67]"
"Nov 2014","[69]"
"Dec 2014","[64]"
"Jan 2015","[76]"
"Feb 2015","[72]"
"Mar 2015","[74]"
"Apr 2015","[74]"
"May 2015","[68]"
"Jun 2015","[68]"
"Jul 2015","[65]"
"Aug 2015","[56]"
"Sep 2015","[67]"
"Oct 2015","[66]"
"Nov 2015","[69]"
"Dec 2015","[71]"
"Jan 2016","[65]"
"Feb 2016","[68]"
"Mar 2016","[77]"
"Apr 2016","[75]"
"May 2016","[70]"
"Jun 2016","[65]"
"Jul 2016","[62]"
"Aug 2016","[57]"
"Sep 2016","[65]"
"Oct 2016","[67]"
"Nov 2016","[72]"
"Dec 2016","[69]"
"Jan 2017","[73]"
"Feb 2017","[72]"
"Mar 2017","[77]"
"Apr 2017","[77]"